trade_id,timestamp,symbol,event,side,price,shares,usd_qty,pnl,total_pnl,balance,notes
AAPL-1,2026-07-01 18:30:11,AAPL,ENTRY_LONG,LONG,294.87,67.0,19756.29,0.0,0.0,100000.0,TP1=296.34 TP2=297.08 TP3=297.82 SL=293.40 shares=67 risk≈$98.78 signal=2026-07-01 14:15:00
MSFT-1,2026-07-01 18:30:14,MSFT,ENTRY_LONG,LONG,388.18,51.0,19797.18,0.0,0.0,100000.0,TP1=390.12 TP2=391.09 TP3=392.06 SL=386.24 shares=51 risk≈$98.99 signal=2026-07-01 14:15:00
NVDA-1,2026-07-01 18:30:17,NVDA,ENTRY_SHORT,SHORT,198.02,100.0,19802.0,0.0,0.0,100000.0,TP1=197.03 TP2=196.53 TP3=196.04 SL=199.01 shares=100 risk≈$99.01 signal=2026-07-01 14:15:00
AMZN-1,2026-07-01 18:30:22,AMZN,ENTRY_LONG,LONG,244.1899,81.0,19779.38,0.0,0.0,100000.0,TP1=245.41 TP2=246.02 TP3=246.63 SL=242.97 shares=81 risk≈$98.90 signal=2026-07-01 14:15:00
META-1,2026-07-01 18:30:25,META,ENTRY_SHORT,SHORT,620.415,32.0,19853.28,0.0,0.0,100000.0,TP1=617.31 TP2=615.76 TP3=614.21 SL=623.52 shares=32 risk≈$99.27 signal=2026-07-01 14:15:00
GOOGL-1,2026-07-01 18:30:29,GOOGL,ENTRY_LONG,LONG,359.8,55.0,19789.0,0.0,0.0,100000.0,TP1=361.60 TP2=362.50 TP3=363.40 SL=358.00 shares=55 risk≈$98.94 signal=2026-07-01 14:15:00
TSLA-1,2026-07-01 18:30:32,TSLA,ENTRY_SHORT,SHORT,424.56,47.0,19954.32,0.0,0.0,100000.0,TP1=422.44 TP2=421.38 TP3=420.31 SL=426.68 shares=47 risk≈$99.77 signal=2026-07-01 14:15:00
AVGO-1,2026-07-01 18:30:36,AVGO,ENTRY_LONG,LONG,370.01,54.0,19980.54,0.0,0.0,100000.0,TP1=371.86 TP2=372.79 TP3=373.71 SL=368.16 shares=54 risk≈$99.90 signal=2026-07-01 14:15:00
JPM-1,2026-07-01 18:30:40,JPM,ENTRY_LONG,LONG,334.02,59.0,19707.18,0.0,0.0,100000.0,TP1=335.69 TP2=336.53 TP3=337.36 SL=332.35 shares=59 risk≈$98.54 signal=2026-07-01 14:15:00
LLY-1,2026-07-01 18:30:43,LLY,ENTRY_LONG,LONG,1182.35,16.0,18917.6,0.0,0.0,100000.0,TP1=1188.26 TP2=1191.22 TP3=1194.17 SL=1176.44 shares=16 risk≈$94.59 signal=2026-07-01 14:15:00
V-1,2026-07-01 18:30:46,V,ENTRY_SHORT,SHORT,350.395,57.0,19972.51,0.0,0.0,100000.0,TP1=348.64 TP2=347.77 TP3=346.89 SL=352.15 shares=57 risk≈$99.86 signal=2026-07-01 14:15:00
UNH-1,2026-07-01 18:30:52,UNH,ENTRY_LONG,LONG,425.87,46.0,19590.02,0.0,0.0,100000.0,TP1=428.00 TP2=429.06 TP3=430.13 SL=423.74 shares=46 risk≈$97.95 signal=2026-07-01 14:15:00
XOM-1,2026-07-01 18:30:55,XOM,ENTRY_SHORT,SHORT,136.425,146.0,19918.05,0.0,0.0,100000.0,TP1=135.74 TP2=135.40 TP3=135.06 SL=137.11 shares=146 risk≈$99.59 signal=2026-07-01 14:30:00
MA-1,2026-07-01 18:31:00,MA,ENTRY_LONG,LONG,525.77,38.0,19979.26,0.0,0.0,100000.0,TP1=528.40 TP2=529.71 TP3=531.03 SL=523.14 shares=38 risk≈$99.90 signal=2026-07-01 14:30:00
COST-1,2026-07-01 18:31:03,COST,ENTRY_SHORT,SHORT,923.71,21.0,19397.91,0.0,0.0,100000.0,TP1=919.09 TP2=916.78 TP3=914.47 SL=928.33 shares=21 risk≈$96.99 signal=2026-07-01 14:30:00
HD-1,2026-07-01 18:31:06,HD,ENTRY_SHORT,SHORT,353.3,56.0,19784.8,0.0,0.0,100000.0,TP1=351.53 TP2=350.65 TP3=349.77 SL=355.07 shares=56 risk≈$98.92 signal=2026-07-01 14:30:00
NFLX-1,2026-07-01 18:31:10,NFLX,ENTRY_LONG,LONG,74.135,269.0,19942.32,0.0,0.0,100000.0,TP1=74.51 TP2=74.69 TP3=74.88 SL=73.76 shares=269 risk≈$99.71 signal=2026-07-01 14:30:00
AMD-1,2026-07-01 18:31:13,AMD,ENTRY_SHORT,SHORT,547.36,36.0,19704.96,0.0,0.0,100000.0,TP1=544.62 TP2=543.25 TP3=541.89 SL=550.10 shares=36 risk≈$98.52 signal=2026-07-01 14:30:00
BAC-1,2026-07-01 18:31:17,BAC,ENTRY_SHORT,SHORT,58.345,342.0,19953.99,0.0,0.0,100000.0,TP1=58.05 TP2=57.91 TP3=57.76 SL=58.64 shares=342 risk≈$99.77 signal=2026-07-01 14:30:00
CRM-1,2026-07-01 18:31:21,CRM,ENTRY_LONG,LONG,164.58,121.0,19914.18,0.0,0.0,100000.0,TP1=165.40 TP2=165.81 TP3=166.23 SL=163.76 shares=121 risk≈$99.57 signal=2026-07-01 14:30:00
AMD-1,2026-07-01 18:47:33,AMD,TP1_HIT,SHORT,543.86,18.0,9789.48,63.0,63.0,100063.0,remaining=18 shares
CRM-1,2026-07-01 18:54:28,CRM,SL_HIT,LONG,163.62,121.0,19798.02,-116.1608,-116.1608,99883.84,entry=164.58 exit=163.62
CRM-2,2026-07-01 18:56:13,CRM,ENTRY_SHORT,SHORT,163.6948,122.0,19970.76,0.0,-116.1608,99883.84,TP1=162.88 TP2=162.47 TP3=162.06 SL=164.51 shares=122 risk≈$99.85 signal=2026-07-01 14:45:00
META-1,2026-07-01 19:02:28,META,TP1_HIT,SHORT,616.715,16.0,9867.44,59.1992,59.1992,100059.2,remaining=16 shares
AMD-1,2026-07-01 19:04:34,AMD,SL_HIT,SHORT,547.66,18.0,9857.88,-5.3998,57.6002,100057.6,entry=547.36 exit=547.66
NVDA-1,2026-07-01 19:05:45,NVDA,SL_HIT,SHORT,199.4801,100.0,19948.01,-146.0098,-146.0098,99853.99,entry=198.02 exit=199.48
AVGO-1,2026-07-01 19:05:56,AVGO,TP1_HIT,LONG,372.305,27.0,10052.23,61.9645,61.9645,100061.96,remaining=27 shares
AMD-2,2026-07-01 19:06:17,AMD,ENTRY_SHORT,SHORT,549.31,36.0,19775.16,0.0,57.6002,100057.6,TP1=546.56 TP2=545.19 TP3=543.82 SL=552.06 shares=36 risk≈$98.88 signal=2026-07-01 15:00:00
NVDA-2,2026-07-01 19:07:28,NVDA,ENTRY_LONG,LONG,199.7099,100.0,19970.99,0.0,-146.0098,99853.99,TP1=200.71 TP2=201.21 TP3=201.71 SL=198.71 shares=100 risk≈$99.85 signal=2026-07-01 15:00:00
META-1,2026-07-01 19:12:32,META,TP2_HIT,SHORT,615.435,8.0,4923.48,39.8398,99.0391,100099.04,remaining=8 shares
AMZN-1,2026-07-01 19:19:09,AMZN,SL_HIT,LONG,242.79,81.0,19665.99,-113.3921,-113.3921,99886.61,entry=244.19 exit=242.79
MSFT-1,2026-07-01 19:20:46,MSFT,SL_HIT,LONG,385.58,51.0,19664.58,-132.6003,-132.6003,99867.4,entry=388.18 exit=385.58
AMZN-2,2026-07-01 19:20:51,AMZN,ENTRY_SHORT,SHORT,242.48,82.0,19883.36,0.0,-113.3921,99886.61,TP1=241.27 TP2=240.66 TP3=240.06 SL=243.69 shares=82 risk≈$99.42 signal=2026-07-01 15:15:00
MSFT-2,2026-07-01 19:22:27,MSFT,ENTRY_LONG,LONG,385.48,51.0,19659.48,0.0,-132.6003,99867.4,TP1=387.41 TP2=388.37 TP3=389.33 SL=383.55 shares=51 risk≈$98.30 signal=2026-07-01 15:15:00
HD-1,2026-07-01 19:31:13,HD,TP1_HIT,SHORT,351.53,28.0,9842.84,49.5597,49.5597,100049.56,remaining=28 shares
AMD-2,2026-07-01 19:36:14,AMD,TP1_HIT,SHORT,545.6601,18.0,9821.88,65.6982,123.2985,100123.3,remaining=18 shares
TSLA-1,2026-07-01 19:37:33,TSLA,SL_HIT,SHORT,426.7,47.0,20054.9,-100.5807,-100.5807,99899.42,entry=424.56 exit=426.70
NVDA-2,2026-07-01 19:40:44,NVDA,SL_HIT,LONG,198.48,100.0,19848.0,-122.9904,-269.0002,99731.0,entry=199.71 exit=198.48
TSLA-2,2026-07-01 19:40:53,TSLA,ENTRY_SHORT,SHORT,426.6,46.0,19623.6,0.0,-100.5807,99899.42,TP1=424.47 TP2=423.40 TP3=422.33 SL=428.73 shares=46 risk≈$98.12 signal=2026-07-01 15:30:00
AMD-2,2026-07-01 19:41:16,AMD,TP2_HIT,SHORT,544.55,9.0,4900.95,42.8401,166.1385,100166.14,remaining=9 shares
NVDA-3,2026-07-01 19:42:26,NVDA,ENTRY_LONG,LONG,198.4,100.0,19840.0,0.0,-269.0002,99731.0,TP1=199.39 TP2=199.89 TP3=200.38 SL=197.41 shares=100 risk≈$99.20 signal=2026-07-01 15:30:00
LLY-1,2026-07-01 19:46:02,LLY,TP1_HIT,LONG,1188.325,8.0,9506.6,47.7998,47.7998,100047.8,remaining=8 shares
META-1,2026-07-01 19:49:11,META,TP3_HIT,SHORT,613.48,8.0,4907.84,55.48,154.519,100154.52,entry=620.41 exit=613.48
AMD-2,2026-07-01 19:49:37,AMD,TP3_HIT,SHORT,543.7,9.0,4893.3,50.4899,216.6284,100216.63,entry=549.31 exit=543.70
META-2,2026-07-01 19:50:52,META,ENTRY_LONG,LONG,612.14,32.0,19588.48,0.0,154.519,100154.52,TP1=615.20 TP2=616.73 TP3=618.26 SL=609.08 shares=32 risk≈$97.94 signal=2026-07-01 15:45:00
AMD-3,2026-07-01 19:51:17,AMD,ENTRY_SHORT,SHORT,543.72,36.0,19573.92,0.0,216.6284,100216.63,TP1=541.00 TP2=539.64 TP3=538.28 SL=546.44 shares=36 risk≈$97.87 signal=2026-07-01 15:45:00
LLY-1,2026-07-01 19:52:41,LLY,TP2_HIT,LONG,1191.505,4.0,4766.02,36.6201,84.4199,100084.42,remaining=4 shares
AAPL-1,2026-07-01 19:55:40,AAPL,CLOSE_EOD,LONG,295.2,67.0,19778.4,22.1111,22.1111,100022.11,entry=294.87 exit=295.20
MSFT-2,2026-07-01 19:55:41,MSFT,CLOSE_EOD,LONG,384.41,51.0,19604.91,-54.5704,-187.1707,99812.83,entry=385.48 exit=384.41
NVDA-3,2026-07-01 19:55:43,NVDA,CLOSE_EOD,LONG,197.5401,100.0,19754.01,-85.9894,-354.9896,99645.01,entry=198.40 exit=197.54
AMZN-2,2026-07-01 19:55:44,AMZN,CLOSE_EOD,SHORT,242.075,82.0,19850.15,33.2099,-80.1822,99919.82,entry=242.48 exit=242.07
META-2,2026-07-01 19:55:45,META,CLOSE_EOD,LONG,614.26,32.0,19656.32,67.8398,222.3589,100222.36,entry=612.14 exit=614.26
GOOGL-1,2026-07-01 19:55:47,GOOGL,CLOSE_EOD,LONG,361.49,55.0,19881.95,92.9501,92.9501,100092.95,entry=359.80 exit=361.49
TSLA-2,2026-07-01 19:55:49,TSLA,CLOSE_EOD,SHORT,425.7181,46.0,19583.03,40.5673,-60.0134,99939.99,entry=426.60 exit=425.72
AVGO-1,2026-07-01 19:55:50,AVGO,CLOSE_EOD,LONG,370.32,27.0,9998.64,8.3699,70.3345,100070.33,entry=370.01 exit=370.32
JPM-1,2026-07-01 19:55:52,JPM,CLOSE_EOD,LONG,333.885,59.0,19699.22,-7.9638,-7.9638,99992.04,entry=334.02 exit=333.89
LLY-1,2026-07-01 19:55:53,LLY,CLOSE_EOD,LONG,1191.37,4.0,4765.48,36.0801,120.5,100120.5,entry=1182.35 exit=1191.37
V-1,2026-07-01 19:55:55,V,CLOSE_EOD,SHORT,350.465,57.0,19976.5,-3.9904,-3.9904,99996.01,entry=350.39 exit=350.46
UNH-1,2026-07-01 19:55:57,UNH,CLOSE_EOD,LONG,426.8532,46.0,19635.25,45.2279,45.2279,100045.23,entry=425.87 exit=426.85
XOM-1,2026-07-01 19:55:59,XOM,CLOSE_EOD,SHORT,135.71,146.0,19813.66,104.3895,104.3895,100104.39,entry=136.43 exit=135.71
MA-1,2026-07-01 19:56:01,MA,CLOSE_EOD,LONG,522.905,38.0,19870.39,-108.8696,-108.8696,99891.13,entry=525.77 exit=522.91
COST-1,2026-07-01 19:56:02,COST,CLOSE_EOD,SHORT,924.62,21.0,19417.02,-19.1094,-19.1094,99980.89,entry=923.71 exit=924.62
HD-1,2026-07-01 19:56:04,HD,CLOSE_EOD,SHORT,351.59,28.0,9844.52,47.8798,97.4395,100097.44,entry=353.30 exit=351.59
NFLX-1,2026-07-01 19:56:05,NFLX,CLOSE_EOD,LONG,74.07,269.0,19924.83,-17.4857,-17.4857,99982.51,entry=74.14 exit=74.07
AMD-3,2026-07-01 19:56:06,AMD,CLOSE_EOD,SHORT,540.115,36.0,19444.14,129.7793,346.4077,100346.41,entry=543.72 exit=540.11
BAC-1,2026-07-01 19:56:08,BAC,CLOSE_EOD,SHORT,58.4,342.0,19972.8,-18.8101,-18.8101,99981.19,entry=58.35 exit=58.40
CRM-2,2026-07-01 19:56:09,CRM,CLOSE_EOD,SHORT,163.67,122.0,19967.74,3.0251,-113.1358,99886.86,entry=163.69 exit=163.67
